Número da conta,Saldo,Nome,CPF,Data de nascimento,Login,Senha
1001,R$9500.0,Firmino Neto,12345678900,1997-09-27,login,senha
1002,R$250.0,Alice Evans,12345678911,1995-01-01,loguinho,senhan
1003,R$250.0,Maisa Lima,12345678922,1998-12-09,login,senha
1004,R$500.0,Stephen Strange,12345678933,1955-04-10,ancient,one
1005,R$500.0,Julia,12345678944,2003-12-12,login,senha
1006,R$300.0,Marcos Holoway,12345678955,1998-03-01,login,senha
1007,R$24.0,Bagley Jones,12345678966,1970-12-25,login,senha
1008,R$980.0,Allanah Johnston,12345678977,2000-10-13,login,senha
1009,R$2000.0,Brena Kollowaski,12345678988,1999-04-30,login,senha
1010,R$400.0,Robert Rios,12345678999,1990-03-31,login,senha
1011,R$400.0,Rajesh Kootrapali,12345678901,2001-12-31,login,senha
1012,R$400.0,Amy Farah Flower,12345678902,1980-12-21,login,senha
1013,R$400.0,Bernadette Wollowitz,12345678903,1973-12-12,login,senha
1014,R$400.0,Howard Wollowitz,12345678904,2002-05-05,login,senha
1015,R$450.0,Leonard Hofstader,12345678905,1992-08-14,login,senha
